Serial No.,Date,Time,Device Name,co2,hum,illuminance,maximum_rainfall,par,pm10,pm2_5,pressure,rain_accumulation,temp,tsr,wind_angle,wind_direction,wind_speed,wind_speed_level
1,29/09/2024,23:55:04,Weather station,486,99.9,0,0,0,13,10,1004.3,99.4,27,0,133.1,SE,0,0
2,29/09/2024,23:45:04,Weather station,478,99.9,0,0,0,14,11,1004.4,99.4,27.1,0,153.6,SSE,0,0
3,29/09/2024,23:35:04,Weather station,482,99.9,0,0,0,16,12,1004.6,99.4,27,0,114.7,ESE,0,0
4,29/09/2024,23:25:04,Weather station,484,99.9,0,0,0,16,13,1004.7,99.4,27,0,113.7,ESE,0,0
5,29/09/2024,23:15:14,Weather station,504,99.9,0,0,0,15,12,1004.8,99.4,27,0,85.6,E,0,0
6,29/09/2024,23:05:04,Weather station,483,99.9,0,0,0,12,10,1004.7,99.4,27.2,0,84.4,E,0,0
7,29/09/2024,22:55:04,Weather station,483,99.9,0,0,0,14,11,1004.7,99.4,27.3,0,78.2,ENE,0,0
8,29/09/2024,22:45:13,Weather station,488,99.9,0,0,0,14,11,1004.7,99.4,27.3,0,96.8,E,0,0
9,29/09/2024,22:35:03,Weather station,477,99.9,0,0,0,16,12,1004.6,99.4,27.3,0,129.5,SE,0,0
10,29/09/2024,22:25:03,Weather station,479,99.9,0,0,0,13,10,1004.7,99.4,27.4,0,95.2,E,0,0
11,29/09/2024,22:15:03,Weather station,474,99.9,0,0,0,15,12,1004.7,99.4,27.5,0,132.3,SE,0,0
12,29/09/2024,22:05:03,Weather station,476,99.9,0,0,0,13,10,1004.8,99.4,27.5,0,82.3,E,0,0
13,29/09/2024,21:55:03,Weather station,481,99.9,0,0,0,14,11,1005,99.4,27.6,0,72,ENE,0,0
14,29/09/2024,21:45:03,Weather station,476,99.9,0,0,0,16,13,1004.9,99.4,27.6,0,102.1,ESE,0,0
15,29/09/2024,21:35:03,Weather station,472,99.9,0,0,0,14,11,1005,99.4,27.6,0,102.8,ESE,0,0
16,29/09/2024,21:25:12,Weather station,469,99.9,0,0,0,15,12,1004.9,99.4,27.6,0,84.6,E,0,0
